startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Oscars,,,,,,title,,https://content.rolex.com/dam/world-of-rolex/rolex-and-cinema/oscars/rolex-and-cinema-2022-oscars-share.jpg,
1927,1,11,,1927,1,11,,,Birth of the Academy,"The Academy was first founded in 1927, but it didn't create the categories for the awards and, therefore, the ceremony we know today, until the year after. ",https://www.frombolivia.com/wp-content/uploads/2021/04/Oscar2021.jpg,"From <a href=""https://www.frombolivia.com/wp-content/uploads/2021/04/Oscar2021.jpg""> frombolivia </a>",Iconic Oscars statuette,,,,,#250001
1929,5,16,,1929,5,16,,,The first Oscars in history,"The first Academy Awards ceremony was held in the Blossom Room of the Hollywood Roosevelt Hotel. The award categories were the following: Actor, Actress, Art Direction, Cinematography, Directing (Comedy Picture), Directing (Dramatic Picture), Engineering Effects, Outstanding Picture, Special Award, Unique And Artistic Picture, Writing (Adaptation), Writing (Original Story), Writing (Title Writing). They've been modified various times throughout the years.",https://www.youtube.com/watch?v=zXOlmo943Vc,"From <a href=""https://www.youtube.com/watch?v=zXOlmo943Vc""> Youtube </a>",First attendants of the Academy Awards,,,,https://drraa3ej68s2c.cloudfront.net/wp-content/uploads/2020/01/07082647/eeaf9e7342a0d077a20f395dfcb8791e3d240e5afc2b69f74870afcac3979626.jpg,#590004
1929,,,,2022,,,,,Oscars locations throughout the years,"This is the location in which the Oscars have been celebrated in the past years: the Dolby Theatre. <a href=""https://thespaces.com/oscar-venues-through-the-ages/""> Some other venues </a> that have held the Academy Awards ceremony since it begun are very close to each other. Maybe Hollywood stars don't like to move around a lot!","https://www.google.es/maps/place/Dolby+Theatre/@34.1023755,-118.3402575,17z/data=!3m2!4b1!5s0x80c2bf23c7952b9f:0x64dca853c2a04780!4m5!3m4!1s0x80c2bf23c3bb14c7:0xf5f01d0d3b59ab76!8m2!3d34.1026919!4d-118.3404156?hl=es","From <a href=""https://www.google.com/maps/d/u/0/edit?mid=1OvX0VOOqUPSL9MYQdbNK53l8gfepbP_l&usp=sharing""> Google </a>",Oscars ceremony venues throughout the years,,,,,#D17A22
1939,2,23,,1939,2,23,,,Leak prevention,"Up until this year, the press knew about the winners before they were announced in the ceremony. However, Los Angeles Times slipped up and printed the winners in an early evening edition; before the ceremony. From then onwards, the press wouldn't be given the names of the winners beforehand.",http://www.trbimg.com/img-58b3dda2/turbine/la-1940-academy-awards-20170227/,"From <a href=""http://www.trbimg.com/img-58b3dda2/turbine/la-1940-academy-awards-20170227/""> trbimg </a>",A copy of an old Los Angeles Times ,,,,,#A50104
1940,2,29,,1940,2,29,,,Hattie McDaniel becomes the first African American to win an Oscar,"Hattie McDaniel was the first African American to be nominated and win an Oscar. She won best supporting actress for her role in Gone With the Wind. On her speech she stated: ""I sincerely hope that I shall always be a credit to my race, and to the motion picture industry.""",https://imagenes.elpais.com/resizer/qsxAj7wecdr7eqeqe0iKHDvIbzw=/1960x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/AWS53AGFTVFTDORQCTOUPKEK2A.jpg,"From <a href=""https://imagenes.elpais.com/resizer/qsxAj7wecdr7eqeqe0iKHDvIbzw=/1960x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/AWS53AGFTVFTDORQCTOUPKEK2A.jpg""> imagenes.elpais </a>",Hattie McDaniel (1940) with Oscar plaque for best supprting actress,,,,,#250001
1953,3,19,,1953,3,19,,,"Mom, I'm on TV!","This is the year in which the Academy Award were <a href=""https://www.youtube.com/watch?v=iOtp4dli7-4""> first televised on the US. </a> For an event that is now globally watched, it is important to note that it took some time for it to debut on TV. The NBC TV and radio network streamed the 25th Oscars ceremonies live from Hollywood, with Bob Hope as master of ceremonies,as well as from the NBC International Theatre in New York with Fredric March making the presentations.",https://www.hollywoodreporter.com/wp-content/uploads/2022/03/PBDSHBO_EC003.jpg,"From <a href=""https://www.hollywoodreporter.com/movies/movie-news/first-televised-oscars-academy-awards-full-show-rewatch-1235115714/""> Hollywood Reporter </a> ",The first ever televised Oscars,,,,,#D17A22
1969,4,14,,1969,4,14,,,The Oscars go international,"Since 1969, the Academy Awards ceremony has been <a href=""https://www.youtube.com/watch?v=rcmNN3BJdTM""> broadcasted internationally. </a> Only 16 years after its first televisation in the US! This was also the year in which there was a tie for the Best Actress award between Katharine Hepburn and Barbra Streisand. The latter received the award in the end.",https://www.oscars.org/sites/oscars/files/1968_streisand_bergman_0.jpg,"From <a href=""https://oscars.org/""> Oscars </a>",Barbra Streisand on the first ever internationally broadcasted Oscars,,,,,#A50104
1998,3,23,,1998,3,23,,,Titanic makes the history,"Titanic won a total of 11 awards. This was also the most-watched ceremony in history, with 87 million estimated viewers in the United States. There are many movies nominated that year that remain considered classics, such as Good Will Hunting, L.A. Confidential, or As Good as It Gets.",https://www.oscars.org/sites/oscars/files/styles/hero_image_default/public/titanic_main-banner_photo.jpg?itok=GZIylXj9,"From <a href =""https://www.oscars.org/""> oscars </a>","In 1998, Titanic not only won the best picture, but other 10 awards, breaking the records for most nominations earned by a single movie (""All About Eve"")",,,,https://images.mubicdn.net/images/film/3431/cache-10128-1597218575/image-w1280.jpg,#A50104
2002,3,24,,2002,3,24,,,[Black] Girls to the front!,"Halle Berry became the first black woman to win an Academy Award for Best Actress. She dedicated the honor to ""every nameless, faceless woman of color that now has a chance because this door tonight has been opened."" ",https://soundcloud.com/user-933574047-852803779/halle-berry-wins-best-actress-74th-oscars-2002?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,"From <a href=""https://www.youtube.com/watch?v=llgL7mGYVTI"">Oscars (YouTube)</a>",Halle Berry's speech,,,,https://hips.hearstapps.com/es.h-cdn.co/fotoes/images/noticias-cine/decepcion-halle-berry-oscar/135110593-1-esl-ES/De-que-sirve-ganar-un-Oscar-Segun-Halle-Berry-de-nada.jpg,#590004
2009,2,22,,2009,2,22,,,Heath Ledger wins posthumous Oscar (2009),"After <a href=""http://www.cnn.com/interactive/2017/hln/how-it-really-happened/what-killed-heath-ledger/""> his sudden death at 28 from an accidental overdose of prescription medications </a>, his family accepted his best supporting actor award, for his towering performance as the Joker in Batman movie The Dark Knight.",https://i0.wp.com/res.cloudinary.com/jerrick/image/upload/v1641651912/61d99ec84c3700001d135733.jpg?resize=1024%2C759&ssl=1,"From <a href=""https://dashfun.net/posthumous-oscars-heath-ledger-walt-disney/""> Dashun </a>",Heath Ledger as the Joker,,,,,#D17A22
2014,3,2,,2014,3,2,,,Directors at the top,"Steve McQueen is the first African-American director to have a film win in the Best Picture category: ""12 Years a Slave"". Alfonso Cuarón became the first Latinx to win Best Directing, with his movie ""Gravity"". This was also the year of Lupita Nyong'o's big break: her role in McQueen's move got her an award for Best Supporting Actress. ",https://pbs.twimg.com/media/Bh6KuXfCYAA0Yu0.jpg:large,"From <a href=""https://twitter.com/refocusedmedia/status/440942342707503104""> Twitter </a>"," McQueen (second from the left) and Cuarón (on the far right) alongside Scorsese, Payne, and O.Russell,",,,,,#A50104
2020,2,9,,2020,2,9,,,A year to remember,"Parasite became the first film in a language other than English to win Best Picture. Joaquin Phoenix was <a href=""https://www.reuters.com/article/us-awards-oscars-actor-idINKBN2040BB""> the second actor to win an Oscar for playing the Joker. </a> Both movies became very talked about in social media, and Joker was the source for <a href=""https://www.menshealth.com/entertainment/a36531415/joker-memes/""> various memes. </a>",https://media.gq.com/photos/5e417dc48208a40009e9abbe/master/pass/Bong-Joon-Ho-Oscars-GQ-2020-021020.jpg,"From <a href=""https://www.gq.com/story/oscars-2020-bong-joon-ho-recap""> DAVID SWANSON/EPA-EFE/Shutterstock </a>",Bong Joon-Ho having fun with his statuettes. They're kissing. Muac!,,,,,#250001
2021,4,26,,2021,4,26,,,Chloé Zhao wins Oscar for Best Director,"Chloé Zhao won Best Director with Nomadland making her the first Asian woman (and only the second woman, after Kathryn Bigelow, ever) to win the category. It wasn't the only award the film got, and her previous work has also garnered recognition amongst film critics.",https://en.wikipedia.org/wiki/Chlo%C3%A9_Zhao,"From <a href=""https://en.wikipedia.org/wiki/Main_Page""> Wikipedia </a>",Chloé Zhao's Wikipedia page,,,,https://ichef.bbci.co.uk/news/640/cpsprodpb/DB11/production/_118218065_gettyimages-1314472329.jpg,#D17A22
2022,3,27,,2022,3,27,,,Firsts in history from the latest Oscars,"In 2022 Ariana DeBose has been the first openly queer woman of color to win an Oscar for acting. Troy Kotsur is the first deaf man to win a statuette for his acting. Also, CODA  is the first movie from a streaming service and the first movie to debut at Sundance to win Best Picture.",https://hips.hearstapps.com/hmg-prod/images/actress-ariana-debose-poses-with-her-oscar-for-best-news-photo-1648497857.jpg?resize=1200:*,"From <a href=""https://www.oprahdaily.com/""> OprahDaily </a>",Ariana DeBose posing with her statuette,,,,,#250001
